               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086513,             0.02742,             0.06746,             0.23249,             0.33559,             0.08782,             0.02521,            0.063648,            0.015218,            0.060496,           0.0032432,           0.0032432,            0.070811
                   1,            0.058307,            0.021044,            0.058634,             0.20113,             0.59852,             0.18309,            0.090944,             0.04155,            0.009106,             0.05272,           0.0063595,           0.0063595,            0.040594
                   2,            0.046108,            0.015799,            0.054444,             0.50299,             0.44433,             0.28619,             0.16756,            0.033607,           0.0076878,            0.048072,           0.0092559,           0.0092559,            0.010157
                   3,            0.038608,            0.014331,            0.047725,             0.61691,             0.52602,             0.51401,             0.34736,            0.028174,           0.0070005,            0.036702,             0.00901,             0.00901,             0.00901
                   4,            0.034125,             0.01333,            0.039068,             0.78759,             0.55887,             0.67039,             0.44161,            0.027353,           0.0064111,            0.029111,             0.00901,             0.00901,             0.00901
                   5,            0.032894,            0.013076,            0.033075,             0.66158,             0.78933,             0.79812,             0.55658,            0.024394,           0.0062251,            0.025665,             0.00868,             0.00868,             0.00868
                   6,            0.029712,            0.012916,            0.028726,             0.62988,             0.63478,             0.65396,             0.46657,            0.028521,           0.0074713,            0.033396,             0.00835,             0.00835,             0.00835
                   7,            0.029598,            0.012431,            0.025829,             0.69606,             0.63603,             0.71259,             0.52741,            0.025781,           0.0071422,            0.027689,             0.00802,             0.00802,             0.00802
                   8,            0.027793,            0.012289,            0.023465,             0.87351,              0.8268,             0.89532,             0.72018,            0.020372,           0.0052341,            0.015613,             0.00769,             0.00769,             0.00769
                   9,            0.027213,            0.011979,            0.022667,             0.84251,             0.87273,             0.91708,              0.7313,             0.02003,           0.0053594,            0.014381,             0.00736,             0.00736,             0.00736
                  10,            0.025977,            0.011727,             0.02102,             0.91347,             0.87463,             0.94833,             0.79065,            0.017372,           0.0048904,            0.012145,             0.00703,             0.00703,             0.00703
                  11,            0.025113,             0.01135,            0.020345,             0.89208,             0.88619,             0.92721,             0.76679,            0.017602,           0.0048832,            0.012723,              0.0067,              0.0067,              0.0067
                  12,            0.024928,            0.011344,            0.019618,             0.83507,             0.79837,             0.89257,             0.74103,             0.01866,           0.0049254,            0.020298,             0.00637,             0.00637,             0.00637
                  13,            0.023959,            0.010925,            0.018087,             0.92354,             0.89001,             0.95079,             0.81767,            0.016322,           0.0045268,           0.0098999,             0.00604,             0.00604,             0.00604
                  14,            0.023309,            0.010987,            0.017471,              0.9648,             0.93382,             0.97741,             0.84447,            0.016067,           0.0043727,            0.007632,             0.00571,             0.00571,             0.00571
                  15,            0.022948,            0.010657,            0.016125,             0.92484,             0.94647,             0.97632,             0.85734,            0.015342,              0.0042,           0.0087796,             0.00538,             0.00538,             0.00538
                  16,            0.022175,            0.010317,            0.015362,              0.9768,             0.95582,             0.98369,             0.84741,            0.015421,           0.0041106,           0.0058939,             0.00505,             0.00505,             0.00505
                  17,            0.021222,           0.0099742,            0.014676,             0.96237,             0.96072,             0.98909,              0.8861,            0.013586,           0.0038642,           0.0067756,             0.00472,             0.00472,             0.00472
                  18,            0.020221,           0.0097524,            0.014882,              0.9691,             0.95949,             0.98836,             0.88698,            0.013395,           0.0038459,           0.0054305,             0.00439,             0.00439,             0.00439
                  19,            0.020025,           0.0096942,            0.014531,             0.97584,             0.98093,             0.99092,             0.89237,            0.013378,           0.0038132,           0.0051794,             0.00406,             0.00406,             0.00406
                  20,            0.019321,           0.0094339,            0.013794,              0.9828,             0.97982,             0.98922,             0.88621,            0.013742,           0.0037951,           0.0044207,             0.00373,             0.00373,             0.00373
                  21,            0.018991,           0.0092429,            0.013387,             0.98082,             0.97524,             0.99237,             0.89093,            0.013506,           0.0038202,           0.0047174,              0.0034,              0.0034,              0.0034
                  22,            0.018498,           0.0090941,            0.012788,             0.98854,             0.97134,             0.99194,             0.91511,            0.011604,           0.0035093,           0.0040692,             0.00307,             0.00307,             0.00307
                  23,            0.017864,           0.0089166,            0.011916,             0.99224,             0.99097,             0.99423,             0.92085,            0.011438,           0.0033676,           0.0032618,             0.00274,             0.00274,             0.00274
                  24,            0.016979,           0.0086918,            0.011736,             0.97143,             0.98438,             0.99166,             0.91854,            0.011549,           0.0033462,           0.0040016,             0.00241,             0.00241,             0.00241
                  25,            0.016686,           0.0086544,            0.011809,             0.98504,             0.98713,              0.9931,             0.92025,            0.011313,            0.003302,           0.0036137,             0.00208,             0.00208,             0.00208
                  26,            0.016112,           0.0081308,            0.011187,             0.98772,             0.99436,              0.9945,             0.93279,            0.010946,           0.0031823,           0.0029918,             0.00175,             0.00175,             0.00175
                  27,            0.015723,            0.008298,            0.010782,             0.99384,             0.99335,              0.9947,             0.94001,            0.010464,           0.0031045,           0.0025866,             0.00142,             0.00142,             0.00142
                  28,            0.015244,           0.0079556,            0.010826,             0.98973,              0.9906,             0.99426,             0.94246,            0.010085,           0.0030403,           0.0026531,             0.00109,             0.00109,             0.00109
                  29,            0.015059,           0.0077527,            0.010132,             0.99219,              0.9913,             0.99429,             0.94833,           0.0097945,           0.0030008,           0.0025619,             0.00076,             0.00076,             0.00076
